ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source,audited_announcement_ts,audit_status,audit_score,audit_hits,audit_form,audit_accession,audit_document_url
AEMD,0000882291,Aethlon Medical Inc,Nasdaq,MERGER,2026-09-17,audited_sec_8k_first_public_announcement,https://www.sec.gov/Archives/edgar/data/882291/000168316826007206/0001683168-26-007206-index.htm,manual_sec_8k,NRTX,North Immunology,2026-09-17 12:00:00+00:00,audited_sec_8k_first_public_announcement,2026-09-17 08:03:36+00:00,manual_aemd_sec_8k,99.0,manual,8-K,0001683168-26-007206,https://www.sec.gov/Archives/edgar/data/882291/000168316826007206/0001683168-26-007206-index.htm
LPSN,0001102993,Liveperson Inc,Nasdaq,ACQUISITION,2026-09-03,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,sec_company_tickers_exchange,SOUN,Soundhound Ai Inc,2026-09-03 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-07-24 10:11:07+00:00,sec_candidate,7.0,merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001102993-26-000046,https://www.sec.gov/Archives/edgar/data/1102993/000110299326000046/lpsn-20260720.htm
APGE,0001974640,Apogee Therapeutics Inc,,ACQUISITION,2026-09-02,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,ABBV,Abbvie Inc,2026-09-02 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-08-11 20:00:59+00:00,sec_candidate,9.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001140361-26-032231,https://www.sec.gov/Archives/edgar/data/1974640/000114036126032231/ef20079870_form8k.htm
CRNX,0001658247,Crinetics Pharmaceuticals Inc,,ACQUISITION,2026-09-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,VRTX,Vertex Pharmaceuticals Inc,2026-09-01 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-08-14 12:30:52+00:00,sec_candidate,9.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001140361-26-032951,https://www.sec.gov/Archives/edgar/data/1658247/000114036126032951/ef20080199_8k.htm
NCSM,0001692427,Ncs Multistage Holdings Inc,,ACQUISITION,2026-08-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,WFRD,Weatherford International PLC,2026-08-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-06-02 00:43:55+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-252096,https://www.sec.gov/Archives/edgar/data/1692427/000119312526252096/d23867d8k.htm
FBRX,0001419041,Forte Biosciences Inc,,ACQUISITION,2026-08-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,ARGX,Argenx Se,2026-08-27 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-07-27 10:06:03+00:00,sec_candidate,14.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001193125-26-316766,https://www.sec.gov/Archives/edgar/data/1419041/000119312526316766/d31466d8k.htm
ALOT,0000008146,Astronova Inc,,ACQUISITION,2026-08-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Arcline Investment Management,2026-08-27 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-06-17 12:42:16+00:00,sec_candidate,17.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-273447,https://www.sec.gov/Archives/edgar/data/8146/000119312526273447/d100857d8k.htm
LEG,0000058492,Leggett & Platt Inc,,ACQUISITION,2026-08-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SGI,Somnigroup International Inc,2026-08-26 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-08-21 20:25:02+00:00,sec_candidate,9.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001193125-26-361156,https://www.sec.gov/Archives/edgar/data/58492/000119312526361156/d146425d8k.htm
TWO,0001465740,Two Harbors Investment Corp,,ACQUISITION,2026-08-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Crosscountry Mortgage LLC,2026-08-24 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-08-25 15:12:18+00:00,sec_candidate,6.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|change\s+of\s+control,8-K,0001104659-26-100622,https://www.sec.gov/Archives/edgar/data/1465740/000110465926100622/tm2621794d1_8k.htm
WBS,0000801337,Webster Financial Corp,,ACQUISITION,2026-08-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SAN,Banco Santander SA,2026-08-19 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-08-20 10:33:53+00:00,sec_candidate,4.0,agreement\s+and\s+plan\s+of\s+merger|change\s+of\s+control,8-K,0001193125-26-357758,https://www.sec.gov/Archives/edgar/data/801337/000119312526357758/d919931d8k.htm
LBRDA,0001611983,Liberty Broadband Corp,,ACQUISITION,2026-08-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,CHTR,Charter Communications Inc,2026-08-19 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-05-14 20:16:19+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001104659-26-061190,https://www.sec.gov/Archives/edgar/data/1611983/000110465926061190/tm2614689d1_8k.htm
TALK,0001803901,Talkspace Inc,,ACQUISITION,2026-08-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,UHS,Universal Health Services Inc,2026-08-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-09 12:20:44+00:00,sec_candidate,8.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name|acquirer_symbol,8-K,0000950157-26-000259,https://www.sec.gov/Archives/edgar/data/1803901/000095015726000259/form8-k.htm
AVB,0000915912,Avalonbay Communities Inc,,ACQUISITION,2026-08-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,VMRK,Vivmark Residential,2026-08-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-07-31 20:59:36+00:00,sec_candidate,9.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001104659-26-089277,https://www.sec.gov/Archives/edgar/data/915912/000110465926089277/tm2621824d1_8k.htm
