ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source
AEMD,0000882291,Aethlon Medical Inc,Nasdaq,MERGER,2026-09-17,audited_sec_8k_first_public_announcement,https://www.sec.gov/Archives/edgar/data/882291/000168316826007206/0001683168-26-007206-index.htm,manual_sec_8k,NRTX,North Immunology,2026-09-17 12:00:00+00:00,audited_sec_8k_first_public_announcement
LPSN,0001102993,Liveperson Inc,Nasdaq,ACQUISITION,2026-09-03,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,sec_company_tickers_exchange,SOUN,Soundhound Ai Inc,2026-09-03 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
APGE,0001974640,Apogee Therapeutics Inc,,ACQUISITION,2026-09-02,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,ABBV,Abbvie Inc,2026-09-02 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
CRNX,0001658247,Crinetics Pharmaceuticals Inc,,ACQUISITION,2026-09-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,VRTX,Vertex Pharmaceuticals Inc,2026-09-01 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
NCSM,0001692427,Ncs Multistage Holdings Inc,,ACQUISITION,2026-08-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,WFRD,Weatherford International PLC,2026-08-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
FBRX,0001419041,Forte Biosciences Inc,,ACQUISITION,2026-08-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,ARGX,Argenx Se,2026-08-27 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
ALOT,0000008146,Astronova Inc,,ACQUISITION,2026-08-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Arcline Investment Management,2026-08-27 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
LEG,0000058492,Leggett & Platt Inc,,ACQUISITION,2026-08-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SGI,Somnigroup International Inc,2026-08-26 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
TWO,0001465740,Two Harbors Investment Corp,,ACQUISITION,2026-08-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Crosscountry Mortgage LLC,2026-08-24 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
WBS,0000801337,Webster Financial Corp,,ACQUISITION,2026-08-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SAN,Banco Santander SA,2026-08-19 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
