symbol,cik,company_name,exchange,event_type,event_date,label_quality,source_url,cik_source,acquirer,acquirer_name,dataset_role
AEMD,0000882291,Aethlon Medical Inc,Nasdaq,MERGER,2026-09-17,audited_sec_8k_first_public_announcement,https://www.sec.gov/Archives/edgar/data/882291/000168316826007206/0001683168-26-007206-index.htm,manual_sec_8k,NRTX,North Immunology,MERGER
LPSN,0001102993,Liveperson Inc,Nasdaq,ACQUISITION,2026-09-03,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,sec_company_tickers_exchange,SOUN,Soundhound Ai Inc,ACQUISITION
APGE,0001974640,Apogee Therapeutics Inc,,ACQUISITION,2026-09-02,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,ABBV,Abbvie Inc,ACQUISITION
CRNX,0001658247,Crinetics Pharmaceuticals Inc,,ACQUISITION,2026-09-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,VRTX,Vertex Pharmaceuticals Inc,ACQUISITION
NCSM,0001692427,Ncs Multistage Holdings Inc,,ACQUISITION,2026-08-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,WFRD,Weatherford International PLC,ACQUISITION
FBRX,0001419041,Forte Biosciences Inc,,ACQUISITION,2026-08-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,ARGX,Argenx Se,ACQUISITION
ALOT,0000008146,Astronova Inc,,ACQUISITION,2026-08-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Arcline Investment Management,ACQUISITION
LEG,0000058492,Leggett & Platt Inc,,ACQUISITION,2026-08-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SGI,Somnigroup International Inc,ACQUISITION
TWO,0001465740,Two Harbors Investment Corp,,ACQUISITION,2026-08-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Crosscountry Mortgage LLC,ACQUISITION
WBS,0000801337,Webster Financial Corp,,ACQUISITION,2026-08-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SAN,Banco Santander SA,ACQUISITION
LBRDA,0001611983,Liberty Broadband Corp,,ACQUISITION,2026-08-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,CHTR,Charter Communications Inc,ACQUISITION
TALK,0001803901,Talkspace Inc,,ACQUISITION,2026-08-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,UHS,Universal Health Services Inc,ACQUISITION
AVB,0000915912,Avalonbay Communities Inc,,ACQUISITION,2026-08-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,VMRK,Vivmark Residential,ACQUISITION
MDV,0001645873,Modiv Industrial Inc,,ACQUISITION,2026-08-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,GNL,Global Net Lease Inc,ACQUISITION
ELSE,0000351789,Electro Sensors Inc,,ACQUISITION,2026-08-05,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Steute Industrial Controls Inc.,ACQUISITION
EA,0000712515,Electronic Arts Inc,,ACQUISITION,2026-08-04,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Silver Lake Partners Lp,ACQUISITION
ORLA,0001680056,Orla Mining Ltd.,,ACQUISITION,2026-07-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,EQX,Equinox Gold Corp,ACQUISITION
AFBI,0001823406,Affinity Bancshares Inc,,ACQUISITION,2026-07-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Fidelity Bancshares Nc Inc,ACQUISITION
LPRO,0001806201,Open Lending Corp,,ACQUISITION,2026-07-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Anv Group Holdings Ltd.,ACQUISITION
SKYT,0001819974,Skywater Technology Inc,,ACQUISITION,2026-07-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,IONQ,Ionq Inc,ACQUISITION
AVNS,0001606498,Avanos Medical Inc,,ACQUISITION,2026-07-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,American Industrial Partners Corp,ACQUISITION
TMHC,0001562476,Taylor Morrison Home Corp,,ACQUISITION,2026-07-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,BRK.B,Berkshire Hathaway Inc,ACQUISITION
NSA,0001618563,National Storage Affiliates Trust,,ACQUISITION,2026-07-21,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,PSA,Public Storage,ACQUISITION
KORE,0001855457,Kore Group Holdings Inc,,ACQUISITION,2026-07-21,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Abry Partners LLC,ACQUISITION
CCRN,0001141103,Cross Country Healthcare Inc,,ACQUISITION,2026-07-21,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Knox Lane Lp,ACQUISITION
NFBK,0001493225,Northfield Bancorp Inc,,ACQUISITION,2026-07-20,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CLBK,Columbia Financial Inc,ACQUISITION
