ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source,audited_announcement_ts,audit_status,audit_score,audit_hits,audit_form,audit_accession,audit_document_url
AEMD,0000882291,Aethlon Medical Inc,Nasdaq,MERGER,2026-09-17,audited_sec_8k_first_public_announcement,https://www.sec.gov/Archives/edgar/data/882291/000168316826007206/0001683168-26-007206-index.htm,manual_sec_8k,NRTX,North Immunology,2026-09-17 12:00:00+00:00,audited_sec_8k_first_public_announcement,2026-09-17 08:03:36+00:00,manual_aemd_sec_8k,99.0,manual,8-K,0001683168-26-007206,https://www.sec.gov/Archives/edgar/data/882291/000168316826007206/0001683168-26-007206-index.htm
BRNS,0001828185,Barinthus Biotherapeutics PLC,Nasdaq,ACQUISITION,2026-09-16,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,sec_company_tickers_exchange,-,Clywedog Therapeutics Inc,2026-09-16 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-13 12:03:44+00:00,sec_candidate,3.0,acquirer_name,8-K,0001828185-26-000011,https://www.sec.gov/Archives/edgar/data/1828185/000182818526000011/brns-20260313.htm
ATAI,0002081043,Ataibeckley Inc,,ACQUISITION,2026-09-11,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,LLY,Eli Lilly & Co.,2026-09-11 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-07-16 11:27:30+00:00,sec_candidate,15.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001140361-26-028604,https://www.sec.gov/Archives/edgar/data/2081043/000114036126028604/ef20078103_8k.htm
LPSN,0001102993,Liveperson Inc,Nasdaq,ACQUISITION,2026-09-03,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,sec_company_tickers_exchange,SOUN,Soundhound Ai Inc,2026-09-03 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-04-21 21:25:59+00:00,sec_candidate,11.0,merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-167270,https://www.sec.gov/Archives/edgar/data/1102993/000119312526167270/d148603d8k.htm
APGE,0001974640,Apogee Therapeutics Inc,,ACQUISITION,2026-09-02,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,ABBV,Abbvie Inc,2026-09-02 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-05-27 10:40:32+00:00,sec_candidate,4.0,definitive\s+agreement|change\s+of\s+control,8-K,0001104659-26-066575,https://www.sec.gov/Archives/edgar/data/1974640/000110465926066575/tm2615568d2_8k.htm
CRNX,0001658247,Crinetics Pharmaceuticals Inc,,ACQUISITION,2026-09-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,VRTX,Vertex Pharmaceuticals Inc,2026-09-01 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-07-06 21:17:19+00:00,sec_candidate,14.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|acquirer_symbol|item_1_01_transaction,8-K,0001140361-26-027642,https://www.sec.gov/Archives/edgar/data/1658247/000114036126027642/ef20077399_form8k.htm
NCSM,0001692427,Ncs Multistage Holdings Inc,,ACQUISITION,2026-08-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,WFRD,Weatherford International PLC,2026-08-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-06-02 00:43:55+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-252096,https://www.sec.gov/Archives/edgar/data/1692427/000119312526252096/d23867d8k.htm
ALOT,0000008146,Astronova Inc,,ACQUISITION,2026-08-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Arcline Investment Management,2026-08-27 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-05-18 11:20:01+00:00,sec_candidate,6.0,definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001193125-26-227887,https://www.sec.gov/Archives/edgar/data/8146/000119312526227887/d139961d8k.htm
FBRX,0001419041,Forte Biosciences Inc,,ACQUISITION,2026-08-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,ARGX,Argenx Se,2026-08-27 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-07-27 10:06:03+00:00,sec_candidate,14.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001193125-26-316766,https://www.sec.gov/Archives/edgar/data/1419041/000119312526316766/d31466d8k.htm
LEG,0000058492,Leggett & Platt Inc,,ACQUISITION,2026-08-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,SGI,Somnigroup International Inc,2026-08-26 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-04-13 11:23:41+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-151966,https://www.sec.gov/Archives/edgar/data/58492/000119312526151966/d38467d8k.htm
TWO,0001465740,Two Harbors Investment Corp,,ACQUISITION,2026-08-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Crosscountry Mortgage LLC,2026-08-24 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-05-14 13:09:05+00:00,sec_candidate,4.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement,8-K,0001104659-26-060760,https://www.sec.gov/Archives/edgar/data/1465740/000110465926060760/tm2612985d15_8k.htm
WBS,0000801337,Webster Financial Corp,,ACQUISITION,2026-08-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,SAN,Banco Santander SA,2026-08-19 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-06 21:49:43+00:00,sec_candidate,7.0,definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_symbol|item_1_01_transaction,8-K,0001193125-26-041328,https://www.sec.gov/Archives/edgar/data/801337/000119312526041328/d103982d8k.htm
LBRDA,0001611983,Liberty Broadband Corp,,ACQUISITION,2026-08-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,CHTR,Charter Communications Inc,2026-08-19 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-09 20:06:52+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001104659-26-025209,https://www.sec.gov/Archives/edgar/data/1611983/000110465926025209/tm268186d1_8k.htm
AVB,0000915912,Avalonbay Communities Inc,,ACQUISITION,2026-08-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,VMRK,Vivmark Residential,2026-08-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-05-21 10:12:12+00:00,sec_candidate,10.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001104659-26-064781,https://www.sec.gov/Archives/edgar/data/915912/000110465926064781/tm2615292d1_8k.htm
TALK,0001803901,Talkspace Inc,,ACQUISITION,2026-08-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,UHS,Universal Health Services Inc,2026-08-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-09 12:20:44+00:00,sec_candidate,8.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name|acquirer_symbol,8-K,0000950157-26-000259,https://www.sec.gov/Archives/edgar/data/1803901/000095015726000259/form8-k.htm
MDV,0001645873,Modiv Industrial Inc,,ACQUISITION,2026-08-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,GNL,Global Net Lease Inc,2026-08-12 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-20 11:04:15+00:00,sec_candidate,6.0,definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001140361-26-001557,https://www.sec.gov/Archives/edgar/data/1645873/000114036126001557/ef20063373_8k.htm
ELSE,0000351789,Electro Sensors Inc,,ACQUISITION,2026-08-05,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Steute Industrial Controls Inc.,2026-08-05 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-04-24 21:18:23+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001554855-26-000735,https://www.sec.gov/Archives/edgar/data/351789/000155485526000735/else-20260420.htm
EA,0000712515,Electronic Arts Inc,,ACQUISITION,2026-08-04,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Affinity Partners Gp Lp,2026-08-04 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-09-29 12:05:41+00:00,sec_candidate,10.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001140361-25-036415,https://www.sec.gov/Archives/edgar/data/712515/000114036125036415/ef20056167_8k.htm
ORLA,0001680056,Orla Mining Ltd.,,ACQUISITION,2026-07-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,EQX,Equinox Gold Corp,2026-07-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,,no_candidate_filings,,,,,
AFBI,0001823406,Affinity Bancshares Inc,,ACQUISITION,2026-07-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Fidelity Bancshares Nc Inc,2026-07-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-31 20:40:47+00:00,sec_candidate,10.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001193125-26-134773,https://www.sec.gov/Archives/edgar/data/1823406/000119312526134773/d138375d8k.htm
SKYT,0001819974,Skywater Technology Inc,,ACQUISITION,2026-07-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,IONQ,Ionq Inc,2026-07-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-26 11:07:05+00:00,sec_candidate,10.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|acquirer_symbol,8-K,0001193125-26-021606,https://www.sec.gov/Archives/edgar/data/1819974/000119312526021606/d20158d8k.htm
LPRO,0001806201,Open Lending Corp,,ACQUISITION,2026-07-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Anv Group Holdings Ltd.,2026-07-30 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-06-16 13:11:27+00:00,sec_candidate,15.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-271902,https://www.sec.gov/Archives/edgar/data/1806201/000119312526271902/d147981d8k.htm
AVNS,0001606498,Avanos Medical Inc,,ACQUISITION,2026-07-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,American Industrial Partners Corp,2026-07-24 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-04-14 10:07:32+00:00,sec_candidate,15.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001606498-26-000046,https://www.sec.gov/Archives/edgar/data/1606498/000160649826000046/avns-20260413.htm
