model,target,mode,events,base_event_rate,pr_auc,roc_auc,precision_at_10,lift_top_1pct,model_path,metrics_path,predictions_path
logistic,event_10d,single_company_in_sample_smoke,10.0,0.0015246226558926666,0.9333333333333333,0.9999389219728203,1.0,99.37878787878788,models/aemd_sec_text_smoke/logistic_event_10d.joblib,models/aemd_sec_text_smoke/logistic_event_10d_metrics.json,models/aemd_sec_text_smoke/logistic_event_10d_predictions.csv
random_forest,event_10d,single_company_in_sample_smoke,10.0,0.0015246226558926666,0.9333333333333333,0.9999389219728203,1.0,99.37878787878788,models/aemd_sec_text_smoke/random_forest_event_10d.joblib,models/aemd_sec_text_smoke/random_forest_event_10d_metrics.json,models/aemd_sec_text_smoke/random_forest_event_10d_predictions.csv
logistic,event_20d,single_company_in_sample_smoke,20.0,0.003049245311785333,0.9833333333333334,0.9999694142835296,1.0,99.37878787878788,models/aemd_sec_text_smoke/logistic_event_20d.joblib,models/aemd_sec_text_smoke/logistic_event_20d_metrics.json,models/aemd_sec_text_smoke/logistic_event_20d_predictions.csv
random_forest,event_20d,single_company_in_sample_smoke,20.0,0.003049245311785333,0.98,0.9999541214252944,1.0,99.37878787878788,models/aemd_sec_text_smoke/random_forest_event_20d.joblib,models/aemd_sec_text_smoke/random_forest_event_20d_metrics.json,models/aemd_sec_text_smoke/random_forest_event_20d_predictions.csv
logistic,event_40d,single_company_in_sample_smoke,40.0,0.006098490623570666,0.998780487804878,0.9999961650559902,1.0,99.37878787878788,models/aemd_sec_text_smoke/logistic_event_40d.joblib,models/aemd_sec_text_smoke/logistic_event_40d_metrics.json,models/aemd_sec_text_smoke/logistic_event_40d_predictions.csv
random_forest,event_40d,single_company_in_sample_smoke,40.0,0.006098490623570666,0.9987804878048782,0.9999961650559902,1.0,99.37878787878788,models/aemd_sec_text_smoke/random_forest_event_40d.joblib,models/aemd_sec_text_smoke/random_forest_event_40d_metrics.json,models/aemd_sec_text_smoke/random_forest_event_40d_predictions.csv
logistic,event_5d,single_company_in_sample_smoke,5.0,0.0007623113279463333,0.8866666666666667,0.9999389685688129,0.5,99.37878787878788,models/aemd_sec_text_smoke/logistic_event_5d.joblib,models/aemd_sec_text_smoke/logistic_event_5d_metrics.json,models/aemd_sec_text_smoke/logistic_event_5d_predictions.csv
random_forest,event_5d,single_company_in_sample_smoke,5.0,0.0007623113279463333,0.9,0.9999542264266097,0.5,99.37878787878788,models/aemd_sec_text_smoke/random_forest_event_5d.joblib,models/aemd_sec_text_smoke/random_forest_event_5d_metrics.json,models/aemd_sec_text_smoke/random_forest_event_5d_predictions.csv
logistic,event_60d,single_company_in_sample_smoke,60.0,0.009147735935356,0.9928571428571428,0.9999653792891213,1.0,99.37878787878788,models/aemd_sec_text_smoke/logistic_event_60d.joblib,models/aemd_sec_text_smoke/logistic_event_60d_metrics.json,models/aemd_sec_text_smoke/logistic_event_60d_predictions.csv
random_forest,event_60d,single_company_in_sample_smoke,60.0,0.009147735935356,0.9919482846902203,0.9999576857978151,1.0,99.37878787878788,models/aemd_sec_text_smoke/random_forest_event_60d.joblib,models/aemd_sec_text_smoke/random_forest_event_60d_metrics.json,models/aemd_sec_text_smoke/random_forest_event_60d_predictions.csv
logistic,event_90d,single_company_in_sample_smoke,90.0,0.013721603903033999,0.9998778998778998,0.9999991412033459,1.0,72.87777777777778,models/aemd_sec_text_smoke/logistic_event_90d.joblib,models/aemd_sec_text_smoke/logistic_event_90d_metrics.json,models/aemd_sec_text_smoke/logistic_event_90d_predictions.csv
random_forest,event_90d,single_company_in_sample_smoke,90.0,0.013721603903033999,0.9984940862901881,0.999980247676955,1.0,72.87777777777778,models/aemd_sec_text_smoke/random_forest_event_90d.joblib,models/aemd_sec_text_smoke/random_forest_event_90d_metrics.json,models/aemd_sec_text_smoke/random_forest_event_90d_predictions.csv
