ticker,date,open,high,low,close,adj_close,volume,return_1d,return_3d,return_5d,return_10d,return_20d,return_60d,volatility_5d,volatility_20d,volatility_60d,volume_to_20d_avg,volume_to_60d_avg,gap,intraday_range,high_252d,low_252d,distance_from_52w_high,distance_from_52w_low,dollar_volume,adv_20d_dollars,price,next_open,exit_close_5d,fwd_return_5d,exit_close_10d,fwd_return_10d,exit_close_20d,fwd_return_20d,event_date,has_event,days_to_event_calendar,event_5d,event_10d,event_20d,event_40d,event_60d,event_90d,sec_days_since_last_filing,sec_days_since_event_language,sec_filings_30d,sec_filings_90d,sec_filings_180d,sec_filings_ever,sec_strategic_alternatives_hit_30d,sec_strategic_alternatives_hit_90d,sec_strategic_alternatives_hit_180d,sec_strategic_alternatives_hit_ever,sec_strategic_alternatives_count_30d,sec_strategic_alternatives_count_90d,sec_strategic_alternatives_count_180d,sec_strategic_alternatives_count_ever,sec_investment_bank_hit_30d,sec_investment_bank_hit_90d,sec_investment_bank_hit_180d,sec_investment_bank_hit_ever,sec_investment_bank_count_30d,sec_investment_bank_count_90d,sec_investment_bank_count_180d,sec_investment_bank_count_ever,sec_change_of_control_hit_30d,sec_change_of_control_hit_90d,sec_change_of_control_hit_180d,sec_change_of_control_hit_ever,sec_change_of_control_count_30d,sec_change_of_control_count_90d,sec_change_of_control_count_180d,sec_change_of_control_count_ever,sec_committee_hit_30d,sec_committee_hit_90d,sec_committee_hit_180d,sec_committee_hit_ever,sec_committee_count_30d,sec_committee_count_90d,sec_committee_count_180d,sec_committee_count_ever,sec_unsolicited_interest_hit_30d,sec_unsolicited_interest_hit_90d,sec_unsolicited_interest_hit_180d,sec_unsolicited_interest_hit_ever,sec_unsolicited_interest_count_30d,sec_unsolicited_interest_count_90d,sec_unsolicited_interest_count_180d,sec_unsolicited_interest_count_ever,sec_multiple_party_interest_hit_30d,sec_multiple_party_interest_hit_90d,sec_multiple_party_interest_hit_180d,sec_multiple_party_interest_hit_ever,sec_multiple_party_interest_count_30d,sec_multiple_party_interest_count_90d,sec_multiple_party_interest_count_180d,sec_multiple_party_interest_count_ever,sec_transaction_hit_30d,sec_transaction_hit_90d,sec_transaction_hit_180d,sec_transaction_hit_ever,sec_transaction_count_30d,sec_transaction_count_90d,sec_transaction_count_180d,sec_transaction_count_ever,sec_confidentiality_hit_30d,sec_confidentiality_hit_90d,sec_confidentiality_hit_180d,sec_confidentiality_hit_ever,sec_confidentiality_count_30d,sec_confidentiality_count_90d,sec_confidentiality_count_180d,sec_confidentiality_count_ever,sec_financing_hit_30d,sec_financing_hit_90d,sec_financing_hit_180d,sec_financing_hit_ever,sec_financing_count_30d,sec_financing_count_90d,sec_financing_count_180d,sec_financing_count_ever,sec_any_event_language_hit_30d,sec_any_event_language_hit_90d,sec_any_event_language_hit_180d,sec_any_event_language_hit_ever,planned_position_dollars,open_gap,order_pct_adv,harsh_net_return_20d,execution_tradable,outcome_known_date,event_score,expected_net_return_20d,positive_return_score,execution_score,paper_entry_eligible,paper_entry_condition
AAOI,2026-09-16,98.2,99.6,94.0,96.74,96.74,6963381.0,0.0152167068947421,-0.0818147304479879,-0.103678310015751,-0.064319566689235,-0.2638307586941633,-0.4350289084856625,0.0465147839966844,0.0518776492469009,0.0816995906751161,0.9843385644232292,0.7094009138406736,0.0305383565956554,0.0570264765784113,233.67,18.5,-0.5859973466854966,4.229189189189189,673637477.9399999,776058586.4305,96.74,100.725,,,,,,,,0,,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,8.0,0,0,0,1,0.0,0.0,0.0,3.0,0,0,0,1,0.0,0.0,0.0,4.0,1,1,1,1,10000.0,0.04119288815381439,1.2885625099511158e-05,,False,2026-10-16,0.006787483443898779,-0.012701967932297125,0.4403550366327777,0.0,True,next_open_gap_checked
AB,2026-09-16,36.04,36.5,35.29,35.5,35.5,441888.0,-0.0158026060438036,-0.0163480188417844,-0.0244572684803517,-0.0319061903463322,-0.0187949143173024,-0.0127919911012236,0.0069387855444602,0.0078385246449548,0.0093094857355034,1.4811984256434287,1.56474230713868,-0.0008317161075686,0.033573806881243,44.11,34.92,-0.1951938335978236,0.0166093928980526,15687024.0,10883030.15,35.5,35.88,,,,,,,,0,,0,0,0,0,0,0,5.0,1792.0,1.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,10000.0,0.010704225352112795,0.0009188617381529537,,False,2026-10-16,0.008993938347342259,-0.02465291489136744,0.2885194260313094,0.0,True,next_open_gap_checked
ABXL,2026-09-16,25.5,25.505,25.34,25.34,25.34,5765.0,0.0003947887879984,-0.003147128245476,-0.0003944773175542,-0.0058846606512357,-0.0051040439733018,-0.0062745098039215,0.0017923506569438,0.0036123414151812,0.004308281087793,0.6017494050352804,0.7373961537723601,0.0067114093959732,0.006470588235294,26.48,24.92,-0.0430513595166163,0.0168539325842695,146085.1,243547.37235,25.34,25.43,,,,,,,,0,,0,0,0,0,0,0,22.0,789.0,1.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,74.0,0,0,0,1,0.0,0.0,0.0,4.0,0,0,0,1,0.0,0.0,0.0,25.0,0,0,0,1,10000.0,0.003551696921862746,0.04105977372496173,,False,2026-10-16,0.009513781769943339,-0.026733470067141305,0.11779256062894328,0.0,False,next_open_gap_checked
ACB,2026-09-16,3.82,3.87,3.775,3.83,3.83,557902.0,0.0026178010471205,0.0240641711229945,-0.0128865979381442,-0.0543209876543209,0.0435967302452315,0.3344947735191637,0.0214296773090455,0.0231247091963172,0.0358481875379762,0.5267526903568253,0.4139444492102035,0.0,0.024869109947644,6.665,2.56,-0.4253563390847712,0.49609375,2136764.66,4163892.9245,3.83,3.87,,,,,,,,0,,0,0,0,0,0,0,,,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,10000.0,0.010443864229765065,0.0024015987397660566,,False,2026-10-16,0.004115181018112375,-0.011740360719363583,0.43342514252771885,0.0,True,next_open_gap_checked
ACFN,2026-09-16,20.45,20.97,19.28,20.78,20.78,78605.0,0.0236453201970443,-0.0386305806153133,0.0939720979205054,0.0839853938445487,0.069480185280494,0.2725045927740357,0.0566622894903621,0.0450331045491936,0.035266728445239,1.1080990402724678,1.8906188616921484,0.0073891625615762,0.0826405867970659,31.88,12.42,-0.3481806775407778,0.673107890499195,1633411.9,1410305.3362500002,20.78,21.19,,,,,,,,0,,0,0,0,0,0,0,6.0,6.0,1.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,0,1,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,8.0,0,0,0,1,0.0,0.0,0.0,2.0,0,0,0,1,0.0,0.0,0.0,3.0,1,1,1,1,10000.0,0.019730510105871124,0.007090663094695498,,False,2026-10-16,0.020812898755355858,-0.01575284379712779,0.4090159200299218,0.0,True,next_open_gap_checked
ACGL,2026-09-16,96.14,97.63,96.14,96.97,96.97,5272433.0,-0.0007213520197857,0.0091580809657612,0.0088955938199033,-0.0166311733089949,-0.0196137903144272,0.0535636679704476,0.0105723614563533,0.0115636287287036,0.0147010543848398,1.7280731767088633,2.3999752374941665,-0.0092745259686727,0.0154982317453712,107.085,82.445,-0.0944576738105242,0.176178058099339,511267828.01,298841605.894,96.97,97.0,,,,,,,,0,,0,0,0,0,0,0,49.0,3386.0,0.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,10000.0,0.0003093740332060779,3.3462542707480395e-05,,False,2026-10-16,0.006509958772869935,-0.02465291489136744,0.31343664959278494,0.0,True,next_open_gap_checked
ACH,2026-09-16,1.1,1.11,1.04,1.07,1.07,1242775.0,-0.0360360360360361,-0.0092592592592593,0.0,-0.0695652173913041,-0.0530973451327432,-0.665625,0.0266317432513008,0.0541420220251685,0.0860618402609047,1.067758400282221,1.0680032157615282,-0.009009009009009,0.0636363636363636,5.69,0.9337,-0.81195079086116,0.1459783656420692,1329769.25,1392443.742000006,1.07,1.08,,,,,,,,0,,0,0,0,0,0,0,496.0,2008.0,0.0,0.0,0,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,10000.0,0.009345794392523477,0.007181618688333304,,False,2026-10-16,0.010165272775014509,-0.011175317739656666,0.427568303724235,0.0,True,next_open_gap_checked
ACLS,2026-09-16,107.41,107.625,102.66,103.75,103.75,440920.0,-0.0122810357958873,-0.0853389755796527,-0.1021979923849083,-0.0575892451630484,-0.2336952507570721,-0.4358960417572857,0.0294424843338142,0.0319479459750654,0.0494542666526948,1.3624520428746587,0.9899667043653216,0.0225628332063974,0.0462247462992272,193.78,73.6,-0.4645990298276395,0.4096467391304348,45745450.0,37462274.496,103.75,106.16,,,,,,,,0,,0,0,0,0,0,0,41.0,901.0,0.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,0,1,0.0,0.0,0.0,2.0,0,0,0,1,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,10000.0,0.023228915662650618,0.0002669352070725909,,False,2026-10-16,0.009542632830568425,-0.006765665328917485,0.44759023995988373,0.0,True,next_open_gap_checked
ACN,2026-09-16,190.04,192.0,188.18,189.64,189.64,3265189.0,-0.0194415718717684,0.0312126155519303,0.0787258248009099,0.0082407358179594,0.0966286936910887,0.5191860930865977,0.0321611049425326,0.0282394627852573,0.0292294226923544,0.7271591783683802,0.4467982627208452,-0.0173733195449845,0.0201010313618185,291.09,118.15,-0.3485176405922566,0.6050782903089291,619210441.9599999,836629253.413,189.64,189.94,,,,,,,,0,,0,0,0,0,0,0,68.0,229.95833333333337,0.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,10000.0,0.0015819447373972562,1.1952725725529376e-05,,False,2026-10-16,0.005796989494271368,-0.016560249885306494,0.41589581042696255,0.0,True,next_open_gap_checked
ACVA,2026-09-16,10.44,10.44,10.42,10.42,10.42,11997022.0,-0.0009587727708533,0.0009606147934677,0.4138398914518317,0.5414201183431953,0.3656618610747051,0.6357927786499216,0.1999626789593918,0.1018470528181093,0.0646576147568469,1.1686355546911134,1.976674921708293,0.0009587727708533,0.0019157088122604,10.595,4.065,-0.0165172251061822,1.5633456334563345,125008969.24,99171182.474,10.42,10.46,,,,,,,,0,,0,0,0,0,0,0,152.0,152.0,0.0,0.0,1,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,5.0,0,0,1,1,0.0,0.0,2.0,25.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,10000.0,0.0038387715930903177,0.00010083574432140837,,False,2026-10-16,0.026709872859298482,0.0022785640198483125,0.3680267738262926,0.00013704921751155576,True,next_open_gap_checked
ADEA,2026-09-16,24.97,25.42,24.66,24.97,24.97,1307778.0,0.0028112449799195,-0.0651441407712467,-0.0679357969391564,0.0246204349610175,-0.1088508208422556,-0.2150267211568689,0.0376248595187352,0.0283797621180612,0.0399811067784234,1.589239653059186,1.0709052379089965,0.0028112449799195,0.0304365238285943,34.34,11.61,-0.272859638905067,1.1507321274763136,32655216.66,21318655.8405,24.97,25.6,,,,,,,,0,,0,0,0,0,0,0,43.0,592.9583333333334,0.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,4.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,198.0,0,0,0,1,0.0,0.0,0.0,21.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,10000.0,0.02523027633159791,0.00046907272554222456,,False,2026-10-16,0.013248630022664265,-0.007401780142812551,0.43318681204270915,0.0,True,next_open_gap_checked
ADP,2026-09-16,273.3,277.62,271.96,273.19,273.19,2478665.0,-0.0120782555238129,0.0183776932826362,0.0300505240932056,-0.0363328512469576,0.0144071887415988,0.2730195712954333,0.0159103675653579,0.0152944339120596,0.0193309106581382,1.2599136941595743,1.048504889679614,-0.0116804686652441,0.0207098426637395,294.46,188.16,-0.0722339197174488,0.4519026360544218,677146491.35,547574161.1070001,273.19,271.31,,,,,,,,0,,0,0,0,0,0,0,49.0,1818.0,0.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,10000.0,-0.0068816574545188525,1.8262366470659532e-05,,False,2026-10-16,0.005796989494271368,-0.024012716409663463,0.34647460385668516,0.0,True,next_open_gap_checked
ADVB,2026-09-16,7.94,8.14,7.72,7.72,7.72,12936.0,-0.0445544554455445,-0.0573870573870574,-0.0917647058823529,-0.2605363984674329,-0.1146788990825689,0.4932301740812379,0.0539323647437385,0.0558156719286745,0.1688967638084659,0.0685996829863134,0.0069540202414348,-0.0173267326732673,0.0528967254408061,24.229,3.61,-0.6813735606091873,1.1385041551246535,99865.92,1730389.82375,7.72,7.76,,,,,,,,0,,0,0,0,0,0,0,58.0,58.0,0.0,1.0,3,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,1.0,9.0,13.0,0,0,1,1,0.0,0.0,14.0,14.0,0,0,0,1,0.0,0.0,0.0,1.0,0,1,1,1,10000.0,0.005181347150259086,0.005779044619164821,,False,2026-10-16,0.017056936209896418,0.026700104221472377,0.2911276950014145,0.0010151892051391174,True,next_open_gap_checked
