ticker,date,open,high,low,close,adj_close,volume,return_1d,return_3d,return_5d,return_10d,return_20d,return_60d,volatility_5d,volatility_20d,volatility_60d,volume_to_20d_avg,volume_to_60d_avg,gap,intraday_range,high_252d,low_252d,distance_from_52w_high,distance_from_52w_low,dollar_volume,adv_20d_dollars,price,next_open,exit_close_5d,fwd_return_5d,exit_close_10d,fwd_return_10d,exit_close_20d,fwd_return_20d,event_date,has_event,days_to_event_calendar,event_5d,event_10d,event_20d,event_40d,event_60d,event_90d,sec_days_since_last_filing,sec_days_since_event_language,sec_filings_30d,sec_filings_90d,sec_filings_180d,sec_filings_ever,sec_strategic_alternatives_hit_30d,sec_strategic_alternatives_hit_90d,sec_strategic_alternatives_hit_180d,sec_strategic_alternatives_hit_ever,sec_strategic_alternatives_count_30d,sec_strategic_alternatives_count_90d,sec_strategic_alternatives_count_180d,sec_strategic_alternatives_count_ever,sec_investment_bank_hit_30d,sec_investment_bank_hit_90d,sec_investment_bank_hit_180d,sec_investment_bank_hit_ever,sec_investment_bank_count_30d,sec_investment_bank_count_90d,sec_investment_bank_count_180d,sec_investment_bank_count_ever,sec_change_of_control_hit_30d,sec_change_of_control_hit_90d,sec_change_of_control_hit_180d,sec_change_of_control_hit_ever,sec_change_of_control_count_30d,sec_change_of_control_count_90d,sec_change_of_control_count_180d,sec_change_of_control_count_ever,sec_committee_hit_30d,sec_committee_hit_90d,sec_committee_hit_180d,sec_committee_hit_ever,sec_committee_count_30d,sec_committee_count_90d,sec_committee_count_180d,sec_committee_count_ever,sec_unsolicited_interest_hit_30d,sec_unsolicited_interest_hit_90d,sec_unsolicited_interest_hit_180d,sec_unsolicited_interest_hit_ever,sec_unsolicited_interest_count_30d,sec_unsolicited_interest_count_90d,sec_unsolicited_interest_count_180d,sec_unsolicited_interest_count_ever,sec_multiple_party_interest_hit_30d,sec_multiple_party_interest_hit_90d,sec_multiple_party_interest_hit_180d,sec_multiple_party_interest_hit_ever,sec_multiple_party_interest_count_30d,sec_multiple_party_interest_count_90d,sec_multiple_party_interest_count_180d,sec_multiple_party_interest_count_ever,sec_transaction_hit_30d,sec_transaction_hit_90d,sec_transaction_hit_180d,sec_transaction_hit_ever,sec_transaction_count_30d,sec_transaction_count_90d,sec_transaction_count_180d,sec_transaction_count_ever,sec_confidentiality_hit_30d,sec_confidentiality_hit_90d,sec_confidentiality_hit_180d,sec_confidentiality_hit_ever,sec_confidentiality_count_30d,sec_confidentiality_count_90d,sec_confidentiality_count_180d,sec_confidentiality_count_ever,sec_financing_hit_30d,sec_financing_hit_90d,sec_financing_hit_180d,sec_financing_hit_ever,sec_financing_count_30d,sec_financing_count_90d,sec_financing_count_180d,sec_financing_count_ever,sec_any_event_language_hit_30d,sec_any_event_language_hit_90d,sec_any_event_language_hit_180d,sec_any_event_language_hit_ever,planned_position_dollars,open_gap,order_pct_adv,harsh_net_return_20d,execution_tradable,outcome_known_date,event_score,expected_net_return_20d,positive_return_score,execution_score,paper_entry_eligible,paper_entry_condition,rank_score,paper_action,no_order_reason
AIRO,2026-09-16,7.33,7.36,7.007,7.19,7.19,241666.0,-0.0110041265474551,-0.0082758620689654,0.0450581395348836,-0.0150684931506848,-0.1993318485523385,-0.0650195058517555,0.0211686193997345,0.0346250915466999,0.0567471978457032,0.6517315453725742,0.517329350147987,0.0082530949105914,0.0481582537517054,22.47,5.71,-0.6800178015131286,0.2591943957968476,1737578.54,2830973.9235,7.19,7.32,,,,,,,,0,,0,0,0,0,0,0,34.0,100.0,0.0,1.0,4,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,1,1,0.0,0.0,3.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,10000.0,0.018080667593880273,0.0035323532714270868,,False,2026-10-16,0.012164839223680148,0.05250197824073863,0.5312438731252147,0.0030762582308916262,True,next_open_gap_checked,0.0030762582308916262,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
VENU,2026-09-16,1.79,1.82,1.665,1.69,1.69,589281.0,-0.0174418604651163,-0.028735632183908,-0.0611111111111111,-0.0913978494623656,-0.0913978494623656,-0.4328859060402684,0.0128295200533124,0.038613337479116,0.0551409628483039,1.387555955533673,0.9833019609160604,0.0406976744186047,0.0865921787709497,13.96,1.665,-0.8789398280802292,0.015015015015015,995884.89,790676.1300000001,1.69,1.73,,,,,,,,0,,0,0,0,0,0,0,26.0,26.0,1.0,2.0,2,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,2.0,2.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,1.0,1.0,6.0,1,1,1,1,1.0,2.0,2.0,3.0,1,1,1,1,3.0,3.0,3.0,20.0,1,1,1,1,10000.0,0.02366863905325456,0.012647403431794506,,False,2026-10-16,0.009324871142663888,0.04183174226003014,0.48189067375270234,0.0019465963013309928,True,next_open_gap_checked,0.0019465963013309928,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
FLY,2026-09-16,20.68,20.715,19.56,20.28,20.28,3200904.0,-0.0102489019033673,-0.0402271651680075,-0.0701513067400274,-0.0188679245283018,-0.224177505738332,-0.2997237569060773,0.0261800054594986,0.0329699746216278,0.0499321271729457,1.3541739666525188,0.9155577840548872,0.0092728160078088,0.0558510638297872,62.17,16.0,-0.6737976516004504,0.2675,64914333.120000005,51918483.3095,20.28,20.98,,,,,,,,0,,0,0,0,0,0,0,35.0,106.0,0.0,1.0,4,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,2.0,4.0,0,0,1,1,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,10000.0,0.03451676528599612,0.00019260963268875398,,False,2026-10-16,0.00892303931183562,0.04255299374259639,0.46494123140790095,0.001868893631972613,True,next_open_gap_checked,0.001868893631972613,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
QNCX,2026-09-16,27.39,28.5,25.775,27.17,27.17,48980.0,-0.0580689894262436,-0.0805414551607445,-0.1037440211116609,-0.1538461538461537,-0.174415071406867,0.4645321259163433,0.0341845190198002,0.0422782610572173,0.0451711473535439,2.5232465291193367,1.5772110499230123,-0.0504420176807072,0.0994888645491055,909.98,15.1,-0.9701422009274928,0.7993377483443711,1330786.6,601679.4084999998,27.17,27.17,,,,,,,,0,,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,81.0,0,0,1,1,0.0,0.0,1.0,7.0,0,0,0,1,0.0,0.0,0.0,1.0,1,1,1,1,10000.0,0.0,0.016620146640767088,,False,2026-10-16,0.02074677097867818,0.02598625694131509,0.44906304213077175,0.0016808397062359236,True,next_open_gap_checked,0.0016808397062359236,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
SHAZ,2026-09-16,50.65,55.06,50.65,52.21,52.21,1192367.0,0.0444088817763552,-0.1211917185658979,-0.0799999999999999,-0.0081686930091184,-0.2409130561209653,-0.4319442933304319,0.0720708025976748,0.0509736925756296,0.0816150061534887,0.7797172433185329,0.6117249692763097,0.0132026405281056,0.0870681145113524,5690.0,1.25,-0.9908242530755712,40.768,62253481.07,86380891.60749999,52.21,55.17,,,,,,,,0,,0,0,0,0,0,0,2.0,2.0,1.0,3.0,5,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,1.0,3.0,229.0,0,1,1,1,0.0,1.0,1.0,3.0,0,0,1,1,0.0,0.0,1.0,44.0,1,1,1,1,10000.0,0.056694119900402296,0.00011576634385111805,,False,2026-10-16,0.017217282587240076,0.0268179641375684,0.4639426739260193,0.0016325723269793445,True,next_open_gap_checked,0.0016325723269793445,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
GPRO,2026-09-16,1.31,1.34,1.25,1.27,1.27,19268725.0,-0.0378787878787879,-0.0797101449275361,-0.1024734982332156,0.0325203252032519,1.1438217420661716,0.7162162162162162,0.010482895017313,0.1744196410498052,0.1091391875615118,0.2109461831100417,0.5611477893330099,-0.0075757575757575,0.0687022900763359,3.05,0.5701,-0.5836065573770491,1.2276793544992106,24471280.75,124018578.535765,1.27,1.29,,,,,,,,0,,0,0,0,0,0,0,161.0,1238.0,0.0,0.0,1,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,15.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,7.0,0,0,0,1,0.0,0.0,0.0,12.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,10000.0,0.015748031496062964,8.063308028575862e-05,,False,2026-10-16,0.020531049786792183,0.024316816332276392,0.39422346143278825,0.001373582532845823,True,next_open_gap_checked,0.001373582532845823,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
LVLU,2026-09-16,10.1,10.3,9.71,9.9,9.9,66203.0,-0.0060240963855422,-0.0699859088774071,-0.1624365482233503,-0.1831683168316831,-0.322845417236662,0.3769123783031989,0.0386524591606447,0.0529281370480026,0.0780566829705712,0.8837400533690729,1.3343661997380434,0.0140562248995983,0.0584158415841584,32.319,4.26,-0.6936786410470621,1.323943661971831,655409.7000000001,946104.9155,9.9,9.87,,,,,,,,0,,0,0,0,0,0,0,34.0,155.0,0.0,1.0,2,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,3.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,1,1,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,10000.0,-0.003030303030303161,0.0105696523040631,,False,2026-10-16,0.02176157779625632,0.02007722985096308,0.4430888582969127,0.0013123201905040566,True,next_open_gap_checked,0.0013123201905040566,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
ADVB,2026-09-16,7.94,8.14,7.72,7.72,7.72,12936.0,-0.0445544554455445,-0.0573870573870574,-0.0917647058823529,-0.2605363984674329,-0.1146788990825689,0.4932301740812379,0.0539323647437385,0.0558156719286745,0.1688967638084659,0.0685996829863134,0.0069540202414348,-0.0173267326732673,0.0528967254408061,24.229,3.61,-0.6813735606091873,1.1385041551246535,99865.92,1730389.82375,7.72,7.76,,,,,,,,0,,0,0,0,0,0,0,58.0,58.0,0.0,1.0,3,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,1.0,9.0,13.0,0,0,1,1,0.0,0.0,14.0,14.0,0,0,0,1,0.0,0.0,0.0,1.0,0,1,1,1,10000.0,0.005181347150259086,0.005779044619164821,,False,2026-10-16,0.017056936209896418,0.026700104221472377,0.2911276950014145,0.0010151892051391174,True,next_open_gap_checked,0.0010151892051391174,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
MSS,2026-09-16,1.59,1.65,1.51,1.52,1.52,61640.0,0.0,-0.1555555555555555,-0.1213872832369942,0.0555555555555555,-0.0318471337579617,-0.6001052354643515,0.0660429240059745,0.0786188872498014,0.0830962250404415,0.0120719100020699,0.0211395722423789,0.0460526315789473,0.0880503144654087,197.995,1.24,-0.9923230384605672,0.2258064516129032,93692.8,8959018.930750001,1.52,1.54,,,,,,,,0,,0,0,0,0,0,0,21.0,85.0,1.0,2.0,2,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,3.0,3.0,7.0,0,1,1,1,0.0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,21.0,0,1,1,1,10000.0,0.013157894736842035,0.001116193645453415,,False,2026-10-16,0.009324871142663888,0.023873280361757492,0.4115099693773019,0.0009486671863340368,True,next_open_gap_checked,0.0009486671863340368,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
PZG,2026-09-16,1.34,1.379,1.26,1.28,1.28,267674.0,-0.0153846153846154,-0.0303030303030302,-0.0588235294117647,-0.037593984962406,-0.111111111111111,0.0491803278688525,0.0170597036254855,0.0332678867999384,0.04151567151133,0.5307734230983423,0.5435985209109785,0.0307692307692308,0.0888059701492537,2.71,0.95,-0.5276752767527675,0.3473684210526317,342622.72000000003,739536.0845,1.28,1.32,,,,,,,,0,,0,0,0,0,0,0,63.0,842.0,0.0,1.0,1,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,15.0,0,0,0,1,0.0,0.0,0.0,3.0,0,0,0,1,0.0,0.0,0.0,4.0,0,0,0,1,10000.0,0.03125,0.013521990623028213,,False,2026-10-16,0.023789971442123088,0.006998030140478872,0.42704925942463395,0.0004609467338989437,True,next_open_gap_checked,0.0004609467338989437,WATCH_ONLY,Selected calibration strategy passed; no current names met all gates.
